iso3,date,inflation_rate,wage_index,commodity_price
AFG,2024-01-01,-6.60118564073727,,
AFG,2023-01-01,-4.64470870797776,,
AFG,2022-01-01,13.7121023720065,,
AFG,2021-01-01,5.1332034082496,,
AFG,2020-01-01,5.60188791482222,,
AFG,2019-01-01,2.30237251516839,,
AFG,2018-01-01,0.626149149168802,,
AFG,2017-01-01,4.97595150553836,,118.17257669936907
AFG,2016-01-01,4.38389195513915,,83.21774165377805
AFG,2015-01-01,-0.661709164713771,,114.78460822040763
AFG,2014-01-01,4.67399603536345,,180.05802670080618
AFG,2013-01-01,7.38577178397856,,187.44923970066344
AFG,2012-01-01,6.44121280934116,,188.4681761268736
AFG,2011-01-01,11.8041858089129,,182.396264573945
AFG,2010-01-01,2.17853752389419,,145.90912641295506
AFG,2009-01-01,-6.81116108898994,,102.52589461048652
AFG,2008-01-01,26.4186641547444,,162.4761853841861
AFG,2007-01-01,8.68057078513405,,113.03723297624067
AFG,2006-01-01,6.78459655001656,,113.0942597514432
ALB,2024-01-01,2.21448953273292,,
ALB,2023-01-01,4.75976421930108,,
ALB,2022-01-01,6.72520271530052,,
ALB,2021-01-01,2.04147163139547,,
ALB,2020-01-01,1.62088661717011,,
ALB,2019-01-01,1.41109078954247,,
ALB,2018-01-01,2.02805963071135,,
ALB,2017-01-01,1.98666133171195,,118.17257669936907
ALB,2016-01-01,1.27543168367414,,83.21774165377805
ALB,2015-01-01,1.89617402592365,,114.78460822040763
ALB,2014-01-01,1.62586504402611,,180.05802670080618
ALB,2013-01-01,1.93762080205226,,187.44923970066344
ALB,2012-01-01,2.03159268395297,,188.4681761268736
ALB,2011-01-01,3.42912324722166,,182.396264573945
ALB,2010-01-01,3.62604695579816,,145.90912641295506
ALB,2009-01-01,2.2669220945083,,102.52589461048652
ALB,2008-01-01,3.32087090389265,,162.4761853841861
DZA,2024-01-01,4.04611455313438,,
DZA,2023-01-01,9.32217375928319,,
DZA,2022-01-01,9.26551551551555,,
DZA,2021-01-01,7.22606307415475,,
DZA,2020-01-01,2.41513094083414,,
DZA,2019-01-01,1.95176821052892,,
DZA,2018-01-01,4.26999020467083,,
DZA,2017-01-01,5.5911159096167,,118.17257669936907
DZA,2016-01-01,6.39769480268751,,83.21774165377805
DZA,2015-01-01,4.78444700693894,,114.78460822040763
DZA,2014-01-01,2.91692692067458,,180.05802670080618
DZA,2013-01-01,3.25423910998842,,187.44923970066344
DZA,2012-01-01,8.8914509106232,,188.4681761268736
DZA,2011-01-01,4.5242115050527,,182.396264573945
DZA,2010-01-01,3.91106195534029,,145.90912641295506
DZA,2009-01-01,5.73706036145628,,102.52589461048652
DZA,2008-01-01,4.85859062814938,,162.4761853841861
DZA,2007-01-01,3.678995747417,,113.03723297624067
DZA,2006-01-01,2.31149918514424,,113.0942597514432
AGO,2024-01-01,28.2404948915773,,
AGO,2023-01-01,13.6441017767715,,
AGO,2022-01-01,21.3552901320822,,
AGO,2021-01-01,25.7542948841891,,
AGO,2020-01-01,22.271539247051,,
AGO,2019-01-01,17.080954143438,,
AGO,2018-01-01,19.6289379701521,,
AGO,2017-01-01,29.8444799015679,,118.17257669936907
AGO,2016-01-01,30.6944150806719,,83.21774165377805
AGO,2015-01-01,9.35597215533781,,114.78460822040763
AGO,2014-01-01,7.2803873036112,,180.05802670080618
AGO,2013-01-01,8.77781429332625,,187.44923970066344
AGO,2012-01-01,10.2779049218839,,188.4681761268736
AGO,2011-01-01,13.4824679218511,,182.396264573945
AGO,2010-01-01,14.4696564932577,,145.90912641295506
AGO,2009-01-01,13.7302839288409,,102.52589461048652
AGO,2008-01-01,12.4758291326398,,162.4761853841861
AGO,2007-01-01,12.2514974459487,,113.03723297624067
AGO,2006-01-01,13.3052101780032,,113.0942597514432
AGO,2005-01-01,22.953513851394,,86.61792353750035
AGO,2004-01-01,43.5421067519687,,71.96943658572398
AGO,2003-01-01,98.2241436573304,,66.47201009614632
ATG,2024-01-01,6.19886698842119,,
ATG,2023-01-01,5.06713865364216,,
ATG,2022-01-01,7.53107834634287,,
ATG,2021-01-01,2.06299638545329,,
ATG,2020-01-01,0.625989707046714,,
ATG,2019-01-01,1.43135598182988,,
ATG,2018-01-01,1.20715793367006,,
ATG,2017-01-01,2.43248789041367,,118.17257669936907
ATG,2016-01-01,-0.489437796230531,,83.21774165377805
ATG,2015-01-01,0.968993458825594,,114.78460822040763
ATG,2014-01-01,1.08944157435359,,180.05802670080618
ATG,2013-01-01,1.05949782356172,,187.44923970066344
ATG,2012-01-01,3.37688044338876,,188.4681761268736
ATG,2011-01-01,3.45674967234604,,182.396264573945
ATG,2010-01-01,3.37002540220151,,145.90912641295506
ATG,2009-01-01,-0.550159995508911,,102.52589461048652
ATG,2008-01-01,5.33380639820233,,162.4761853841861
ATG,2007-01-01,1.41605259409741,,113.03723297624067
ATG,2006-01-01,1.78778537419121,,113.0942597514432
ATG,2005-01-01,2.09875196709307,,86.61792353750035
ATG,2004-01-01,2.03007757853237,,71.96943658572398
ATG,2003-01-01,1.99353055152454,,66.47201009614632
ATG,2002-01-01,2.40765801293491,,50.07030590183942
ARG,2024-01-01,219.883929014578,,
ARG,2023-01-01,133.488935594175,,
ARG,2022-01-01,72.430757531824,,
ARG,2021-01-01,48.4093786255199,,
ARG,2020-01-01,42.0150947376509,,
ARG,2019-01-01,53.5483043492339,,
ARG,2018-01-01,34.2772237131003,,
ARM,2024-01-01,0.269511978259078,,
ARM,2023-01-01,1.98041877615558,,
ARM,2022-01-01,8.64091108973852,,
ARM,2021-01-01,7.18483629443367,,
ARM,2020-01-01,1.2114357783847,,
ARM,2019-01-01,1.44344660770699,,
ARM,2018-01-01,2.52023382001632,,
ARM,2017-01-01,0.969553268816178,,118.17257669936907
ARM,2016-01-01,-1.40360755900904,,83.21774165377805
ARM,2015-01-01,3.73169119261694,,114.78460822040763
ARM,2014-01-01,2.98130868933676,,180.05802670080618
ARM,2013-01-01,5.78966778544654,,187.44923970066344
ARM,2012-01-01,2.55802007757904,,188.4681761268736
ARM,2011-01-01,7.65000807859295,,182.396264573945
ABW,2019-01-01,4.25746204335427,,
ABW,2018-01-01,3.62604141352957,,
ABW,2017-01-01,-1.02828178762003,,118.17257669936907
ABW,2016-01-01,-0.931195987079601,,83.21774165377805
ABW,2015-01-01,0.474763597342611,,114.78460822040763
ABW,2014-01-01,0.421440918881169,,180.05802670080618
ABW,2013-01-01,-2.37206524252255,,187.44923970066344
ABW,2012-01-01,0.627471992893336,,188.4681761268736
ABW,2011-01-01,4.31629742195208,,182.396264573945
ABW,2010-01-01,2.07814071860783,,145.90912641295506
ABW,2009-01-01,-2.13542872046934,,102.52589461048652
ABW,2008-01-01,8.95598705177788,,162.4761853841861
ABW,2007-01-01,5.39256784475513,,113.03723297624067
ABW,2006-01-01,3.60802438784539,,113.0942597514432
ABW,2005-01-01,3.39778677828807,,86.61792353750035
ABW,2004-01-01,2.52912946932762,,71.96943658572398
ABW,2003-01-01,3.65636507938414,,66.47201009614632
ABW,2002-01-01,3.3152467858543,,50.07030590183942
AUS,2024-01-01,3.16161428305747,70736.187,
AUS,2024-01-01,3.16161428305747,101549.36,
AUS,2023-01-01,5.59701492537313,70422.098,
AUS,2023-01-01,5.59701492537313,101098.46,
AUS,2023-01-01,5.59701492537313,97369.594,
AUS,2022-01-01,6.59409671341846,71109.992,
AUS,2022-01-01,6.59409671341846,102086.0,
AUS,2022-01-01,6.59409671341846,93006.944,
AUS,2021-01-01,2.86391042204996,72716.686,
AUS,2021-01-01,2.86391042204996,104392.58,
AUS,2021-01-01,2.86391042204996,90306.577,
AUS,2020-01-01,0.846905537459283,71915.394,
AUS,2020-01-01,0.846905537459283,103242.24,
AUS,2020-01-01,0.846905537459283,87587.735,
AUS,2019-01-01,1.6107678729038,70501.846,
AUS,2019-01-01,1.6107678729038,101212.94,
AUS,2019-01-01,1.6107678729038,84778.529,
AUS,2018-01-01,1.91140094445694,69832.234,
AUS,2018-01-01,1.91140094445694,100251.64,
AUS,2018-01-01,1.91140094445694,82482.297,
AUS,2017-01-01,1.94864740944521,69579.169,118.17257669936907
AUS,2017-01-01,1.94864740944521,99888.343,118.17257669936907
AUS,2017-01-01,1.94864740944521,80837.248,118.17257669936907
AUS,2016-01-01,1.2769909449733,69806.581,83.21774165377805
AUS,2016-01-01,1.2769909449733,100214.82,83.21774165377805
AUS,2016-01-01,1.2769909449733,80095.083,83.21774165377805
AUS,2015-01-01,1.5083667216592,69464.852,114.78460822040763
AUS,2015-01-01,1.5083667216592,99724.227,114.78460822040763
AUS,2015-01-01,1.5083667216592,79207.442,114.78460822040763
AUS,2014-01-01,2.48792270531401,69877.669,180.05802670080618
AUS,2014-01-01,2.48792270531401,100316.87,180.05802670080618
AUS,2014-01-01,2.48792270531401,78665.356,180.05802670080618
AUS,2013-01-01,2.44988864142539,69189.387,187.44923970066344
AUS,2013-01-01,2.44988864142539,99328.769,187.44923970066344
AUS,2013-01-01,2.44988864142539,76598.051,187.44923970066344
AUS,2012-01-01,1.76278015613196,69392.868,188.4681761268736
AUS,2012-01-01,1.76278015613196,99620.887,188.4681761268736
AUS,2012-01-01,1.76278015613196,75150.953,188.4681761268736
AUS,2011-01-01,3.30385015608741,68914.944,182.396264573945
AUS,2011-01-01,3.30385015608741,98934.776,182.396264573945
AUS,2011-01-01,3.30385015608741,72977.668,182.396264573945
AUS,2010-01-01,2.91834002677376,66705.582,145.90912641295506
AUS,2010-01-01,2.91834002677376,95763.0,145.90912641295506
AUS,2010-01-01,2.91834002677376,69109.723,145.90912641295506
AUS,2009-01-01,1.77111716621253,64406.029,102.52589461048652
AUS,2009-01-01,1.77111716621253,92461.746,102.52589461048652
AUS,2009-01-01,1.77111716621253,65361.382,102.52589461048652
AUS,2008-01-01,4.35029854990048,64995.647,162.4761853841861
AUS,2008-01-01,4.35029854990048,93308.206,162.4761853841861
AUS,2008-01-01,4.35029854990048,64343.869,162.4761853841861
AUS,2007-01-01,2.32761128891475,64500.872,113.03723297624067
AUS,2007-01-01,2.32761128891475,92597.903,113.03723297624067
AUS,2007-01-01,2.32761128891475,61884.247,113.03723297624067
AUS,2006-01-01,3.55528773727026,62769.154,113.0942597514432
AUS,2006-01-01,3.55528773727026,90111.837,113.0942597514432
AUS,2006-01-01,3.55528773727026,58402.686,113.0942597514432
AUS,2005-01-01,2.69183168316832,62347.376,86.61792353750035
AUS,2005-01-01,2.69183168316832,89506.33,86.61792353750035
AUS,2005-01-01,2.69183168316832,56018.52,86.61792353750035
AUS,2004-01-01,2.34325522482584,61629.11,71.96943658572398
AUS,2004-01-01,2.34325522482584,88475.181,71.96943658572398
AUS,2004-01-01,2.34325522482584,54199.403,71.96943658572398
AUS,2003-01-01,2.73259596616786,59748.167,66.47201009614632
AUS,2003-01-01,2.73259596616786,85774.886,66.47201009614632
AUS,2003-01-01,2.73259596616786,51798.587,66.47201009614632
AUS,2002-01-01,2.98157453936348,58909.737,50.07030590183942
AUS,2002-01-01,2.98157453936348,84571.231,50.07030590183942
AUS,2002-01-01,2.98157453936348,50052.758,50.07030590183942
AUS,2001-01-01,4.40713536201469,58378.557,61.8779594650662
AUS,2001-01-01,4.40713536201469,83808.665,61.8779594650662
AUS,2001-01-01,4.40713536201469,48315.982,61.8779594650662
AUS,2000-01-01,4.45743514797223,57806.507,59.46991562653437
AUS,2000-01-01,4.45743514797223,82987.426,59.46991562653437
